代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
002457	青龙管业	4.89	19.75	0.92	19.72	19.75	418244	69	-0.74	         16.48	18.65	20.39	18.65	18.83	   311.98	826591232	  3.48	塑料	宁夏	9.24	
000778	新兴铸管	0.59	6.79	0.04	6.78	6.79	535242	249	0.15	          1.47	6.80	6.88	6.74	6.75	    89.54	364790016	  1.07	钢加工	河北	2.07	
300137	先河环保	0.55	29.25	0.16	29.25	29.30	227926	137	1.67	          7.71	28.40	29.30	28.20	29.09	   107.96	654257600	  1.53	环境保护	河北	3.78	
000789	万年青	0.33	9.12	0.03	9.11	9.12	24360	8	0.00	          0.40	9.05	9.16	9.04	9.09	    25.31	22179298	  0.60	水泥	江西	1.32	
002489	浙江永强	0.28	7.07	0.02	7.06	7.07	14357	3	0.00	          0.08	7.05	7.10	7.04	7.05	    70.33	10156809	  0.79	家居用品	浙江	0.85	
603768	常青股份	0.22	31.98	0.07	31.93	31.98	7074	9	-0.30	          1.39	31.85	32.41	31.71	31.91	    43.97	22705418	  1.02	汽车配件	安徽	2.19	
880003	平均股价	0.10	20.16	0.02	--  	--  	67763056	--  	-0.12	--  	20.13	20.20	20.13	20.14	--  	84782555136	  1.36			0.35	
603126	中材节能	-0.06	16.00	-0.01	16.00	16.01	54418	69	0.06	          2.50	16.00	16.09	15.71	16.01	    74.99	86681528	  1.02	环境保护	天津	2.37	
603991	至正股份	-0.58	42.68	-0.25	42.66	42.68	2238	6	-0.53	          1.20	42.81	43.31	42.63	42.93	    84.93	9619733	  0.97	塑料	上海	1.58	
880837	活跃股	-0.60	90.19	-0.54	--  	--  	3781530	--  	-0.35	          1.94	90.27	90.98	90.03	90.73	    61.47	7133603840	  1.72			1.05	
000856	冀东装备	-2.58	25.33	-0.67	25.31	25.33	148858	207	-1.47	          6.56	24.87	26.11	24.46	26.00	   248.65	376055616	  2.26	机械基件	河北	6.35	
600874	创业环保	-7.05	12.40	-0.94	12.40	12.42	576941	223	1.22	          5.31	12.40	12.49	12.01	13.34	    39.93	701972416	  3.72	环境保护	天津	3.60	
601228	广州港	-8.96	9.85	-0.97	9.85	9.86	1383282	167	0.41	         19.80	10.25	10.38	9.74	10.82	    90.93	1389981056	  5.44	港口	广东	5.91	
数据来源:通达信
